Date,Area,Sales,Avg_Price,Med_Price
2000-01-01,W05,16,99006,99800
2000-02-01,W05,27,97913,103000
2000-04-01,W05,34,96503,97050
2000-05-01,W05,42,101623,101750
2000-06-01,W05,34,102047,106000
2000-08-01,W05,24,106804,107000
2000-09-01,W05,22,103625,105500
2000-10-01,W05,28,104400,101500
2000-11-01,W05,23,100513,107000
2000-12-01,W05,24,97875,94750
2001-01-01,W05,17,107088,117000
2001-02-01,W05,27,104307,101500
2001-03-01,W05,33,105889,115000
2001-04-01,W05,28,112429,118500
2001-05-01,W05,40,111394,116000
2001-06-01,W05,32,110083,113250
2001-07-01,W05,26,114877,118500
2001-08-01,W05,20,109929,120000
2001-09-01,W05,34,108974,114000
2001-10-01,W05,40,119623,121250
2001-11-01,W05,24,110833,119500
2001-12-01,W05,18,115272,124450
2002-01-01,W05,22,106659,106000
2002-02-01,W05,26,114438,116250
2002-03-01,W05,45,121321,124000
2002-04-01,W05,41,118495,122000
2002-05-01,W05,42,118651,126500
2002-06-01,W05,22,123068,127250
2002-07-01,W05,16,120231,130750
2002-08-01,W05,27,128211,131000
2002-09-01,W05,12,127717,133000
2002-10-01,W05,29,111545,106000
2002-11-01,W05,21,115700,114000
2002-12-01,W05,16,121938,127500
2003-01-01,W05,22,120882,130000
2003-02-01,W05,24,169277,134750
2003-03-01,W05,34,130741,137750
2003-04-01,W05,31,124877,130000
2003-05-01,W05,31,117141,122000
2003-06-01,W05,36,119607,123250
2003-07-01,W05,33,133021,138900
2003-08-01,W05,35,128297,135000
2003-09-01,W05,23,126311,138000
2003-10-01,W05,36,122028,128500
2003-11-01,W05,23,126817,129000
2003-12-01,W05,11,144727,156500
2004-01-01,W05,9,114211,98000
2004-02-01,W05,25,127480,124500
2004-03-01,W05,28,135536,142500
2004-04-01,W05,36,129664,137500
2004-05-01,W05,28,135473,142500
2004-06-01,W05,30,137013,148500
2004-07-01,W05,38,140350,145600
2004-08-01,W05,22,135795,134000
2004-09-01,W05,16,126706,131500
2004-10-01,W05,25,148900,145000
2004-11-01,W05,19,131513,145000
2004-12-01,W05,13,135038,137000
2005-01-01,W05,16,127775,138450
2005-02-01,W05,16,129469,128250
2005-03-01,W05,13,149473,146500
2005-04-01,W05,25,144200,145000
2005-05-01,W05,17,131765,129000
2005-06-01,W05,28,137991,149000
2005-07-01,W05,21,144381,152000
2005-08-01,W05,22,121823,104500
2005-09-01,W05,20,127425,119500
2005-10-01,W05,19,133126,139000
2005-11-01,W05,20,129385,131250
2005-12-01,W05,8,140813,143750
2006-01-01,W05,13,136908,147000
2006-02-01,W05,18,135467,137500
2006-03-01,W05,20,143685,150250
2006-04-01,W05,23,139078,141000
2006-05-01,W05,19,126784,132000
2006-06-01,W05,15,247627,135000
2006-07-01,W05,21,140448,148000
2006-08-01,W05,18,117678,126500
2006-09-01,W05,14,121071,117250
2006-10-01,W05,17,141588,152000
2006-11-01,W05,19,130852,127000
2006-12-01,W05,12,122283,125000
2007-01-01,W05,17,131074,140000
2007-02-01,W05,10,124750,128500
2007-03-01,W05,20,128475,138500
2007-04-01,W05,20,148400,153750
2007-05-01,W05,25,145640,150000
2007-06-01,W05,26,140713,146000
2007-07-01,W05,16,143276,155000
2007-08-01,W05,12,122200,130250
2007-09-01,W05,9,147556,160000
2007-10-01,W05,20,131520,149000
2007-11-01,W05,16,130050,130000
2007-12-01,W05,12,137292,126500
2008-01-01,W05,11,121273,118000
2008-02-01,W05,18,134931,130000
2008-03-01,W05,18,155267,151550
2008-04-01,W05,23,137004,135000
2008-05-01,W05,23,163517,155000
2008-06-01,W05,27,135311,135000
2008-07-01,W05,24,126538,124500
2008-08-01,W05,17,138912,150000
2008-09-01,W05,21,137487,135000
2008-10-01,W05,18,129189,137950
2008-11-01,W05,15,134993,138000
2008-12-01,W05,13,118923,115000
2009-01-01,W05,8,155250,148500
2009-02-01,W05,11,104000,110000
2009-03-01,W05,21,132371,135000
2009-04-01,W05,11,103355,110000
2009-05-01,W05,21,144857,145000
2009-06-01,W05,35,148523,149000
2009-07-01,W05,22,143416,150250
2009-08-01,W05,17,128500,141000
2009-09-01,W05,20,137300,135000
2009-10-01,W05,20,134740,124500
2009-11-01,W05,25,141632,153000
2009-12-01,W05,15,115707,94000
2010-01-01,W05,16,136906,139000
2010-02-01,W05,16,132344,132250
2010-03-01,W05,25,157940,160000
2010-04-01,W05,25,137236,130000
2010-05-01,W05,21,145581,147000
2010-06-01,W05,21,146878,126000
2010-07-01,W05,19,149763,151000
2010-08-01,W05,20,127770,120000
2010-09-01,W05,20,123245,124750
2010-10-01,W05,20,130030,126500
2010-11-01,W05,18,132917,135000
2010-12-01,W05,13,90485,88500
2011-01-01,W05,10,151978,150140
2011-02-01,W05,12,150000,141000
2011-03-01,W05,21,134088,115000
2011-04-01,W05,16,154088,152000
2011-05-01,W05,24,146958,128500
2011-06-01,W05,26,137762,132000
2011-07-01,W05,18,152472,137500
2011-08-01,W05,15,162233,140000
2011-09-01,W05,20,138425,132900
2011-10-01,W05,22,159464,138000
2011-11-01,W05,23,181822,171000
2011-12-01,W05,19,167984,144000
2012-01-01,W05,12,183450,165850
2012-02-01,W05,26,187835,166000
2012-03-01,W05,27,186074,155000
2012-04-01,W05,31,185711,175000
2012-05-01,W05,36,174703,160250
2012-06-01,W05,27,212841,172000
2012-07-01,W05,25,198184,157000
2012-08-01,W05,30,169373,156000
2012-09-01,W05,17,169735,140000
2012-10-01,W05,15,172567,160000
2012-11-01,W05,26,171604,161500
2012-12-01,W05,21,164645,132500
2013-01-01,W05,9,212211,198000
2013-02-01,W05,17,189029,159000
2013-03-01,W05,17,196582,174000
2013-04-01,W05,31,199613,160000
2013-05-01,W05,29,218131,191000
2013-06-01,W05,21,152895,144500
2013-07-01,W05,22,201114,181000
2013-08-01,W05,32,216344,195000
2013-09-01,W05,16,182313,181000
2013-10-01,W05,21,236499,240000
2013-11-01,W05,26,202750,193000
2013-12-01,W05,17,216909,206000
2014-01-01,W05,20,209755,170500
2014-02-01,W05,22,212068,182500
2014-03-01,W05,32,214491,171000
2014-04-01,W05,17,246147,193000
2014-05-01,W05,28,229150,216750
2014-06-01,W05,32,209384,185500
2014-07-01,W05,28,181310,169500
2014-08-01,W05,28,213964,180000
2014-09-01,W05,23,214793,184000
2014-10-01,W05,29,203497,180000
2014-11-01,W05,21,226124,204000
2014-12-01,W05,26,204129,181450
2015-01-01,W05,23,207980,175000
2015-02-01,W05,23,235287,237000
2015-03-01,W05,29,202414,185000
2015-04-01,W05,31,224690,208000
2015-05-01,W05,35,230623,190000
2015-06-01,W05,37,243132,231000
2015-07-01,W05,25,205800,168000
2015-08-01,W05,26,221473,216500
2015-09-01,W05,28,252632,265750
2015-10-01,W05,37,265798,265000
2015-11-01,W05,25,242196,221000
2015-12-01,W05,25,234466,218000
2016-01-01,W05,11,215955,215000
2016-02-01,W05,22,223864,216000
2016-03-01,W05,40,245170,248500
2016-04-01,W05,36,253722,270000
2016-05-01,W05,34,284047,308150
2016-06-01,W05,33,302418,310000
2016-07-01,W05,34,269308,276250
2016-08-01,W05,40,255012,252500
2016-09-01,W05,39,262633,262500
2016-10-01,W05,31,292319,300000
2016-11-01,W05,37,257443,259500
2016-12-01,W05,23,288387,319000
2017-01-01,W05,26,270746,325250
2017-02-01,W05,30,276747,257500
2017-03-01,W05,49,299784,320000
2017-04-01,W05,27,312663,305000
2017-05-01,W05,31,303690,305000
2017-06-01,W05,20,362340,354000
2017-07-01,W05,23,279474,270000
2017-08-01,W05,27,313833,315000
2017-09-01,W05,24,250575,266500
2017-10-01,W05,25,299072,324000
2017-11-01,W05,21,352176,395000
2017-12-01,W05,23,305907,315000
2018-01-01,W05,20,335963,345500
2018-02-01,W05,27,338364,355250
2018-03-01,W05,20,321530,338500
2018-04-01,W05,27,347900,375000
2018-05-01,W05,36,348797,327400
