Date,Area,Sales,Avg_Price,Med_Price
2000-01-01,E05,34,167962,146750
2000-02-01,E05,29,177317,162500
2000-04-01,E05,46,160680,157500
2000-05-01,E05,37,163714,159000
2000-06-01,E05,39,170946,166000
2000-08-01,E05,44,157430,159000
2000-09-01,E05,34,162806,162250
2000-10-01,E05,37,171670,160000
2000-11-01,E05,44,174322,169900
2000-12-01,E05,29,161712,149500
2001-01-01,E05,27,172778,169000
2001-02-01,E05,48,170740,149800
2001-03-01,E05,44,171636,164500
2001-04-01,E05,50,183122,172000
2001-05-01,E05,52,185219,167500
2001-06-01,E05,59,169136,163000
2001-07-01,E05,53,188340,165000
2001-08-01,E05,43,193488,178500
2001-09-01,E05,31,182969,183800
2001-10-01,E05,42,176827,164000
2001-11-01,E05,36,177293,166950
2001-12-01,E05,35,170740,167000
2002-01-01,E05,46,181270,176800
2002-02-01,E05,41,161859,155000
2002-03-01,E05,46,194836,185400
2002-04-01,E05,62,190365,170750
2002-05-01,E05,55,191354,170000
2002-06-01,E05,45,184338,180000
2002-07-01,E05,28,179493,165750
2002-08-01,E05,26,200277,194000
2002-09-01,E05,37,188657,185000
2002-10-01,E05,51,191814,180000
2002-11-01,E05,36,181684,171450
2002-12-01,E05,36,192753,179500
2003-01-01,E05,24,185421,172500
2003-02-01,E05,43,188453,183500
2003-03-01,E05,47,204345,195000
2003-04-01,E05,44,203263,177500
2003-05-01,E05,39,187128,172500
2003-06-01,E05,43,188925,189000
2003-07-01,E05,47,203775,185000
2003-08-01,E05,41,194806,187000
2003-09-01,E05,38,205765,195000
2003-10-01,E05,32,191470,184500
2003-11-01,E05,33,202176,193000
2003-12-01,E05,28,181179,175500
2004-01-01,E05,23,171243,165000
2004-02-01,E05,35,191284,190000
2004-03-01,E05,62,198391,194100
2004-04-01,E05,52,197158,206000
2004-05-01,E05,41,194928,176000
2004-06-01,E05,49,185088,175000
2004-07-01,E05,46,191490,183750
2004-08-01,E05,49,193374,168500
2004-09-01,E05,34,187024,170750
2004-10-01,E05,43,203422,181250
2004-11-01,E05,26,192296,191650
2004-12-01,E05,26,198990,197500
2005-01-01,E05,23,195761,185000
2005-02-01,E05,22,193318,182500
2005-03-01,E05,44,182432,175750
2005-04-01,E05,54,184751,177900
2005-05-01,E05,47,188998,175500
2005-06-01,E05,48,185581,182250
2005-07-01,E05,50,226982,202750
2005-08-01,E05,40,218500,200900
2005-09-01,E05,43,213217,198000
2005-10-01,E05,36,216147,211000
2005-11-01,E05,36,202108,197750
2005-12-01,E05,31,195494,188000
2006-01-01,E05,18,195208,178000
2006-02-01,E05,30,184593,180000
2006-03-01,E05,47,216925,218000
2006-04-01,E05,34,203695,194950
2006-05-01,E05,28,198914,183250
2006-06-01,E05,43,193195,189000
2006-07-01,E05,37,206889,191000
2006-08-01,E05,35,207386,193000
2006-09-01,E05,36,200150,189000
2006-10-01,E05,41,197480,186000
2006-11-01,E05,32,213444,202250
2006-12-01,E05,32,196378,185000
2007-01-01,E05,21,180510,179000
2007-02-01,E05,23,226430,225000
2007-03-01,E05,33,200960,172500
2007-04-01,E05,40,200105,184250
2007-05-01,E05,60,218978,202250
2007-06-01,E05,41,230441,220000
2007-07-01,E05,29,193962,184000
2007-08-01,E05,43,202828,195000
2007-09-01,E05,30,238138,222250
2007-10-01,E05,33,202494,208000
2007-11-01,E05,38,204311,200000
2007-12-01,E05,28,228493,207500
2008-01-01,E05,40,225507,215900
2008-02-01,E05,19,216453,218000
2008-03-01,E05,37,192765,169000
2008-04-01,E05,42,191026,197000
2008-05-01,E05,52,212382,209750
2008-06-01,E05,40,224670,200500
2008-07-01,E05,32,219357,212500
2008-08-01,E05,27,223784,216000
2008-09-01,E05,30,215073,218500
2008-10-01,E05,34,200118,183250
2008-11-01,E05,20,201090,204900
2008-12-01,E05,19,182115,166000
2009-01-01,E05,16,196269,173150
2009-02-01,E05,23,176435,172000
2009-03-01,E05,24,200735,183500
2009-04-01,E05,36,197572,202500
2009-05-01,E05,38,214959,223250
2009-06-01,E05,44,213993,214250
2009-07-01,E05,62,219610,217500
2009-08-01,E05,52,211817,197500
2009-09-01,E05,57,224613,205500
2009-10-01,E05,30,225585,220500
2009-11-01,E05,37,230319,229800
2009-12-01,E05,34,237123,237000
2010-01-01,E05,25,217048,205000
2010-02-01,E05,27,223354,206000
2010-03-01,E05,44,229798,224500
2010-04-01,E05,59,230431,233500
2010-05-01,E05,32,252441,250000
2010-06-01,E05,40,249445,248500
2010-07-01,E05,28,224396,232500
2010-08-01,E05,32,258306,257500
2010-09-01,E05,26,239096,226500
2010-10-01,E05,29,217145,204000
2010-11-01,E05,34,219621,204950
2010-12-01,E05,21,218119,220000
2011-01-01,E05,19,249889,227000
2011-02-01,E05,13,249062,206000
2011-03-01,E05,42,237798,243000
2011-04-01,E05,39,258614,225000
2011-05-01,E05,47,241281,229000
2011-06-01,E05,47,241968,237000
2011-07-01,E05,43,246702,236900
2011-08-01,E05,42,255207,249750
2011-09-01,E05,30,243850,235000
2011-10-01,E05,29,245352,243000
2011-11-01,E05,40,248402,226500
2011-12-01,E05,28,256270,215875
2012-01-01,E05,12,241583,231950
2012-02-01,E05,25,239434,230000
2012-03-01,E05,27,240662,245000
2012-04-01,E05,44,246094,238000
2012-05-01,E05,40,263086,263150
2012-06-01,E05,40,267073,243250
2012-07-01,E05,39,257574,230000
2012-08-01,E05,31,258348,235000
2012-09-01,E05,28,262295,230500
2012-10-01,E05,32,248325,231250
2012-11-01,E05,23,251564,239980
2012-12-01,E05,16,244725,227000
2013-01-01,E05,19,251652,226000
2013-02-01,E05,28,256879,252500
2013-03-01,E05,40,273482,243350
2013-04-01,E05,43,266367,261000
2013-05-01,E05,28,247763,228000
2013-06-01,E05,41,268605,265000
2013-07-01,E05,39,258192,245000
2013-08-01,E05,39,246037,235000
2013-09-01,E05,30,267083,236100
2013-10-01,E05,28,274407,287250
2013-11-01,E05,22,294523,297250
2013-12-01,E05,20,256788,235250
2014-01-01,E05,25,247267,240000
2014-02-01,E05,27,276785,262500
2014-03-01,E05,31,275019,286000
2014-04-01,E05,38,267905,260000
2014-05-01,E05,35,310854,298000
2014-06-01,E05,40,289103,289500
2014-07-01,E05,45,263013,253600
2014-08-01,E05,28,279369,263500
2014-09-01,E05,33,295054,287990
2014-10-01,E05,36,278448,270000
2014-11-01,E05,24,278632,266000
2014-12-01,E05,15,317220,265000
2015-01-01,E05,19,252753,250500
2015-02-01,E05,36,267802,255000
2015-03-01,E05,26,294697,283500
2015-04-01,E05,42,309583,301400
2015-05-01,E05,42,306324,287500
2015-06-01,E05,41,284382,280000
2015-07-01,E05,44,283575,273100
2015-08-01,E05,31,301994,294500
2015-09-01,E05,33,282018,278000
